instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1808,2011-03-21,2,0,3,0,0,1,1,3,34.0,30.3,66.0,38.81,2,11,13
1809,2011-03-21,2,0,3,1,0,1,1,2,34.0,30.3,71.0,38.81,1,6,7
1810,2011-03-21,2,0,3,2,0,1,1,2,34.0,30.3,71.0,32.84,1,5,6
1811,2011-03-21,2,0,3,3,0,1,1,2,34.0,30.3,71.0,32.84,0,1,1
1812,2011-03-21,2,0,3,5,0,1,1,1,32.0,30.3,81.0,29.849999999999998,1,1,2
1813,2011-03-21,2,0,3,6,0,1,1,3,32.0,30.3,76.0,25.369999999999997,2,30,32
1814,2011-03-21,2,0,3,7,0,1,1,3,30.0,27.27,87.0,41.79,3,15,18
1815,2011-03-21,2,0,3,8,0,1,1,2,30.0,27.27,87.0,41.79,3,95,98
1816,2011-03-21,2,0,3,9,0,1,1,2,34.0,30.3,81.0,32.84,12,115,127
1817,2011-03-21,2,0,3,10,0,1,1,2,38.0,39.39,76.0,38.81,17,45,62
1818,2011-03-21,2,0,3,11,0,1,1,2,41.0,42.42,71.0,29.849999999999998,32,47,79
1819,2011-03-21,2,0,3,12,0,1,1,2,41.0,43.94,77.0,25.369999999999997,25,56,81
1820,2011-03-21,2,0,3,13,0,1,1,2,41.0,48.480000000000004,63.0,22.39,35,77,112
1821,2011-03-21,2,0,3,14,0,1,1,2,41.0,50.0,64.0,22.39,36,65,101
1822,2011-03-21,2,0,3,15,0,1,1,2,41.0,50.0,60.0,22.39,41,66,107
1823,2011-03-21,2,0,3,16,0,1,1,2,41.0,50.0,64.0,28.360000000000003,29,112,141
1824,2011-03-21,2,0,3,17,0,1,1,2,41.0,50.0,64.0,25.369999999999997,41,231,272
1825,2011-03-21,2,0,3,18,0,1,1,2,41.0,50.0,72.0,22.39,44,232,276
1826,2011-03-21,2,0,3,19,0,1,1,1,41.0,50.0,60.0,41.79,22,199,221
1827,2011-03-21,2,0,3,20,0,1,1,1,41.0,50.0,64.0,19.400000000000002,16,106,122
1828,2011-03-21,2,0,3,21,0,1,1,1,41.0,45.45,94.0,19.400000000000002,12,79,91
1829,2011-03-21,2,0,3,22,0,1,1,1,41.0,45.45,88.0,22.39,18,60,78
1830,2011-03-21,2,0,3,23,0,1,1,1,41.0,45.45,88.0,8.959999999999999,8,22,30
1831,2011-03-22,2,0,3,0,0,2,1,1,41.0,45.45,88.0,19.400000000000002,4,7,11
1832,2011-03-22,2,0,3,1,0,2,1,1,41.0,42.42,100.0,13.43,6,13,19
1833,2011-03-22,2,0,3,2,0,2,1,1,41.0,43.94,94.0,8.959999999999999,0,1,1
1834,2011-03-22,2,0,3,3,0,2,1,1,41.0,43.94,82.0,22.39,3,2,5
1835,2011-03-22,2,0,3,4,0,2,1,2,41.0,42.42,82.0,16.42,0,1,1
1836,2011-03-22,2,0,3,5,0,2,1,2,40.0,40.910000000000004,87.0,13.43,1,11,12
1837,2011-03-22,2,0,3,6,0,2,1,1,40.0,40.910000000000004,87.0,25.369999999999997,2,58,60
1838,2011-03-22,2,0,3,7,0,2,1,2,40.0,40.910000000000004,76.0,10.45,4,132,136
1839,2011-03-22,2,0,3,8,0,2,1,2,40.0,40.910000000000004,57.99999999999999,29.849999999999998,24,312,336
1840,2011-03-22,2,0,3,9,0,2,1,2,40.0,40.910000000000004,57.99999999999999,46.27,19,159,178
1841,2011-03-22,2,0,3,10,0,2,1,2,41.0,43.94,54.0,29.849999999999998,29,95,124
1842,2011-03-22,2,0,3,11,0,2,1,1,41.0,43.94,51.0,32.84,22,64,86
1843,2011-03-22,2,0,3,12,0,2,1,1,41.0,45.45,47.0,25.369999999999997,35,86,121
1844,2011-03-22,2,0,3,13,0,2,1,1,41.0,48.480000000000004,45.0,22.39,21,85,106
1845,2011-03-22,2,0,3,14,0,2,1,1,41.0,48.480000000000004,42.0,32.84,30,71,101
1846,2011-03-22,2,0,3,15,0,2,1,1,41.0,48.480000000000004,42.0,22.39,55,79,134
1847,2011-03-22,2,0,3,16,0,2,1,1,41.0,48.480000000000004,42.0,10.45,40,125,165
1848,2011-03-22,2,0,3,17,0,2,1,1,41.0,48.480000000000004,42.0,10.45,42,265,307
1849,2011-03-22,2,0,3,18,0,2,1,1,41.0,46.97,44.0,8.959999999999999,41,271,312
